"Story","Title","Result","Date","Stability","Duration (s)"
"Codigo ISO de paises","El usuario quiere encontrar el codigo ISO de un Pais de forma incorrecta","ERROR","2021-10-24T16:01:38.8245742-05:00[America/Bogota]","0.0","0.09"
"Codigo ISO de paises","El usuario quiere encontrar el codigo ISO de un Pais","ERROR","2021-10-24T16:04:20.7211901-05:00[America/Bogota]","0.0","0.29"
"Codigo ISO de paises","El usuario quiere encontrar el codigo ISO de un Pais y lo hace de forma incorrecta","ERROR","2021-10-24T16:04:21.1280336-05:00[America/Bogota]","0.0","0.08"
